"arrival_date","destination_region","destination_city","length_of_stay","has_meal","purpose_trip","sell_price","user_id","partner_geo"
"2019-04-20","Southern Europe","Rome","9","0","leasure","67055","17368","Russia"
"2019-04-17","International","Prague","4","1","business","54885","35235","International"
"2019-04-16","Russia","Saint Petersburg","2","1","business","7295","10579","Russia"
"2019-04-26","Western Europe","Paris","7","0","leasure","129369","21767","Western Europe"
"2019-04-29","Russia","Perm","1","1","business","2770","20447","Russia"
"2019-05-04","Southern Europe","Rome","7","0","leasure","36903","10234","Russia"
"2019-06-09","International","Beverly Hills","2","0","business","68044","8098","Russia"
"2020-01-03","Southern Europe","Selva di Val Gardena","12","0","leasure","281020","6734","CIS"
"2019-10-29","Russia","Ulan-Ude","1","1","business","3687","13986","Russia"
"2019-11-02","Russia","Vladivostok","1","1","leasure","5690","13986","Russia"
"2019-04-17","Russia","Moscow","1","1","business","9052","23326","Russia"
"2019-04-17","Russia","Naberezhnye Chelny","1","1","business","4856","22888","Russia"
"2019-04-16","Russia","Saint Petersburg","2","1","business","13292","23326","Russia"
"2019-05-04","Southern Europe","Bologna","2","1","leasure","30362","31591","Russia"
"2019-04-17","Russia","Kazan","2","1","business","6161","7516","Russia"
"2019-04-22","Western Europe","Paris","5","1","business","61574","22905","Russia"
"2019-05-20","International","Sandton","11","1","leasure","269715","28805","CIS"
"2019-04-16","Russia","Moscow","1","0","business","16309","19020","Russia"
"2019-05-07","Southern Europe","Poirino","3","1","business","20038","22905","Russia"
"2019-06-23","Russia","Saint Petersburg","6","1","leasure","27060","36102","Russia"
"2019-04-18","Russia","Moscow","1","1","business","4088","6189","Russia"
"2019-05-14","Russia","Samara","2","1","business","7505","7516","Russia"
"2019-04-23","Russia","Ulan-Ude","2","1","business","13938","7516","Russia"
"2019-04-19","Russia","Saint Petersburg","1","1","business","3098","8835","Russia"
"2019-04-24","International","Tokyo","2","1","business","18623","22905","Russia"
"2019-05-02","Southern Europe","Florence","5","0","business","19599","6189","Russia"
"2019-04-22","International","Louisville","1","0","business","8481","13879","International"
"2019-09-09","International","Tbilisi","2","1","business","21300","12522","Russia"
"2019-05-10","International","Las Vegas","2","0","leasure","12801","19184","Arabia"
"2019-05-14","CIS","Almaty","4","1","business","25882","6683","Russia"
